Région;Pays-1;Années;Population;Granularité
Europe;Albania;2007;1478,741;Urban
Europe;Albania;2008;3002,678;Total
Europe;Albania;2008;1508,919;Male
Europe;Albania;2008;1493,764;Female
Europe;Albania;2008;1496,108;Rural
Europe;Albania;2008;1495,543;Urban
Europe;Albania;2009;2973,048;Total
Europe;Albania;2009;1495,558;Male
Europe;Albania;2009;1477,486;Female
Europe;Albania;2009;1449,427;Rural
Europe;Albania;2009;1513,208;Urban
Europe;Albania;2010;2948,023;Total
Europe;Albania;2010;1485,068;Male
Europe;Albania;2010;1462,961;Female
Europe;Albania;2010;1406,665;Rural
Europe;Albania;2010;1533,86;Urban
Europe;Albania;2011;2928,592;Total
Europe;Albania;2011;1478,059;Male
Europe;Albania;2011;1450,542;Female
Europe;Albania;2011;1368,297;Rural
Europe;Albania;2011;1558,362;Urban
Europe;Albania;2012;2914,096;Total
Europe;Albania;2012;1474,211;Male
Europe;Albania;2012;1439,88;Female
Europe;Albania;2012;1333,585;Rural
Europe;Albania;2012;1586,454;Urban
Europe;Albania;2013;2903,79;Total
Europe;Albania;2013;1472,67;Male
Europe;Albania;2013;1431,118;Female
Europe;Albania;2013;1302,236;Rural
Europe;Albania;2013;1616,742;Urban
Europe;Albania;2014;2896,305;Total
Europe;Albania;2014;1472,095;Male
Europe;Albania;2014;1424,212;Female
Europe;Albania;2014;1272,79;Rural
Europe;Albania;2014;1647,985;Urban
Europe;Albania;2015;2890,513;Total
Europe;Albania;2015;1471,456;Male
Europe;Albania;2015;1419,068;Female
Europe;Albania;2015;1244,341;Rural
Europe;Albania;2015;1679,011;Urban
Europe;Albania;2016;2886,438;Total
Europe;Albania;2016;1470,548;Male
Europe;Albania;2016;1415,879;Female
Europe;Albania;2016;1216,737;Rural
Europe;Albania;2016;1709,611;Urban
Europe;Albania;2017;2884,169;Total
Europe;Albania;2017;1469,588;Male
Europe;Albania;2017;1414,581;Female
Europe;Albania;2017;1190,155;Rural
Europe;Albania;2017;1740,032;Urban
Europe;Albania;2018;2882,74;Total
Europe;Albania;2018;1468,376;Male
Europe;Albania;2018;1414,359;Female
Europe;Albania;2018;1164,388;Rural
Europe;Albania;2018;1769,975;Urban
Africa;Algeria;2000;31042,235;Total
Africa;Algeria;2000;15731,099;Male
Africa;Algeria;2000;15311,139;Female
Africa;Algeria;2000;12498,847;Rural
Africa;Algeria;2000;18684,813;Urban
Africa;Algeria;2001;31451,514;Total
Africa;Algeria;2001;15935,089;Male
Africa;Algeria;2001;15516,424;Female
Africa;Algeria;2001;12411,94;Rural
Africa;Algeria;2001;19180,213;Urban
Africa;Algeria;2002;31855,109;Total
Africa;Algeria;2002;16134,005;Male
Africa;Algeria;2002;15721,105;Female
Africa;Algeria;2002;12317,847;Rural
Africa;Algeria;2002;19677,199;Urban
Africa;Algeria;2003;32264,157;Total
Africa;Algeria;2003;16333,986;Male
Africa;Algeria;2003;15930,173;Female
Africa;Algeria;2003;12221,443;Rural
Africa;Algeria;2003;20182,071;Urban
Africa;Algeria;2004;32692,163;Total
Africa;Algeria;2004;16542,653;Male
Africa;Algeria;2004;16149,5;Female
Africa;Algeria;2004;12127,441;Rural
Africa;Algeria;2004;20703,655;Urban
Africa;Algeria;2005;33149,724;Total
Africa;Algeria;2005;16766,027;Male
Africa;Algeria;2005;16383,693;Female
Africa;Algeria;2005;12040,491;Rural
Africa;Algeria;2005;21247,946;Urban
Africa;Algeria;2006;33641,002;Total
Africa;Algeria;2006;17006,259;Male
Africa;Algeria;2006;16634,748;Female
Africa;Algeria;2006;11959,903;Rural
Africa;Algeria;2006;21818,012;Urban
Africa;Algeria;2007;34166,972;Total
Africa;Algeria;2007;17263,894;Male
Africa;Algeria;2007;16903,082;Female
Africa;Algeria;2007;11885,693;Rural
Africa;Algeria;2007;22414,383;Urban
Africa;Algeria;2008;34730,608;Total
Africa;Algeria;2008;17541,178;Male
Africa;Algeria;2008;17189,426;Female
Africa;Algeria;2008;11818,949;Rural
Africa;Algeria;2008;23041,766;Urban
Africa;Algeria;2009;35333,881;Total
Africa;Algeria;2009;17840,024;Male
Africa;Algeria;2009;17493,858;Female
Africa;Algeria;2009;11765,339;Rural
Africa;Algeria;2009;23700,421;Urban
Africa;Algeria;2010;35977,455;Total
Africa;Algeria;2010;18161,36;Male
Africa;Algeria;2010;17816,091;Female
Africa;Algeria;2010;11723,941;Rural
Africa;Algeria;2010;24393,696;Urban
Africa;Algeria;2011;36661,445;Total
Africa;Algeria;2011;18505,611;Male
Africa;Algeria;2011;18155,827;Female
Africa;Algeria;2011;11695,477;Rural
Africa;Algeria;2011;25124,081;Urban
Africa;Algeria;2012;37383,895;Total
Africa;Algeria;2012;18871,563;Male
Africa;Algeria;2012;18512,336;Female
Africa;Algeria;2012;11677,502;Rural
Africa;Algeria;2012;25888,345;Urban
Africa;Algeria;2013;38140,133;Total
Africa;Algeria;2013;19256,116;Male
Africa;Algeria;2013;18884,019;Female
Africa;Algeria;2013;11664,03;Rural
Africa;Algeria;2013;26674,532;Urban
Africa;Algeria;2014;38923,692;Total
Africa;Algeria;2014;19654,929;Male
Africa;Algeria;2014;19268,759;Female
Africa;Algeria;2014;11647,651;Rural
Africa;Algeria;2014;27465,662;Urban
Africa;Algeria;2015;39728,025;Total
Africa;Algeria;2015;20063,891;Male
Africa;Algeria;2015;19664,129;Female
Africa;Algeria;2015;11623,281;Rural
Africa;Algeria;2015;28248,247;Urban
Africa;Algeria;2016;40551,392;Total
Africa;Algeria;2016;20481,901;Male
Africa;Algeria;2016;20069,497;Female
Africa;Algeria;2016;11589,537;Rural
Africa;Algeria;2016;29016,515;Urban
Africa;Algeria;2017;41389,189;Total
Africa;Algeria;2017;20906,756;Male
Africa;Algeria;2017;20482,418;Female
Africa;Algeria;2017;11547,532;Rural
Africa;Algeria;2017;29770,61;Urban
Africa;Algeria;2018;42228,408;Total
Africa;Algeria;2018;21331,993;Male
Africa;Algeria;2018;20896,422;Female
Africa;Algeria;2018;11498,038;Rural
Africa;Algeria;2018;30510,016;Urban
;;2000;57,821;Total
;;2000;6,565;Rural
;;2000;50,956;Urban
;;2001;58,494;Total
;;2001;6,695;Rural
;;2001;51,48;Urban
;;2002;59,08;Total
;;2002;6,816;Rural
;;2002;51,915;Urban
;;2003;59,504;Total
;;2003;6,919;Rural
;;2003;52,198;Urban
;;2004;59,681;Total
;;2004;6,994;Rural
;;2004;52,27;Urban
;;2005;59,562;Total
;;2005;7,035;Rural
;;2005;52,083;Urban
;;2006;59,107;Total
;;2006;7,038;Rural
;;2006;51,612;Urban
;;2007;58,365;Total
;;2007;7,006;Rural
;;2007;50,897;Urban
;;2008;57,492;Total
;;2008;6,958;Rural
;;2008;50,072;Urban
;;2009;56,683;Total
;;2009;6,918;Rural
;;2009;49,309;Urban
;;2010;56,079;Total
;;2010;6,902;Rural
;;2010;48,735;Urban
;;2011;55,759;Total
;;2011;6,914;Rural
;;2011;48,406;Urban
;;2012;55,667;Total
;;2012;6,948;Rural
;;2012;48,282;Urban
;;2013;55,713;Total
;;2013;6,997;Rural
;;2013;48,31;Urban
;;2014;55,791;Total
;;2014;7,047;Rural
;;2014;48,39;Urban
;;2015;55,812;Total
;;2015;7,088;Rural
;;2015;48,449;Urban
;;2016;55,741;Total
;;2016;7,118;Rural
;;2016;48,481;Urban
;;2017;55,62;Total
;;2017;7,139;Rural
;;2017;48,502;Urban
;;2018;55,465;Total
;;2018;7,153;Rural
;;2018;48,526;Urban
Europe;Andorra;2000;65,39;Total
Europe;Andorra;2000;4,973;Rural
Europe;Andorra;2000;60,417;Urban
Europe;Andorra;2001;67,341;Total
Europe;Andorra;2001;5,349;Rural
Europe;Andorra;2001;61,992;Urban
Europe;Andorra;2002;70,049;Total
Europe;Andorra;2002;5,855;Rural
Europe;Andorra;2002;64,194;Urban
Europe;Andorra;2003;73,182;Total
Europe;Andorra;2003;6,435;Rural
Europe;Andorra;2003;66,747;Urban
Europe;Andorra;2004;76,244;Total
Europe;Andorra;2004;7,052;Rural
Europe;Andorra;2004;69,192;Urban
Europe;Andorra;2005;78,867;Total
Europe;Andorra;2005;7,662;Rural
Europe;Andorra;2005;71,205;Urban
Europe;Andorra;2006;80,993;Total
Europe;Andorra;2006;8,256;Rural
Europe;Andorra;2006;72,735;Urban
Europe;Andorra;2007;82,684;Total
Europe;Andorra;2007;8,84;Rural
Europe;Andorra;2007;73,843;Urban
Europe;Andorra;2008;83,862;Total
Europe;Andorra;2008;9,221;Rural
Europe;Andorra;2008;74,64;Urban
Europe;Andorra;2009;84,463;Total
Europe;Andorra;2009;9,365;Rural
Europe;Andorra;2009;75,097;Urban
Europe;Andorra;2010;84,449;Total
Europe;Andorra;2010;9,442;Rural
Europe;Andorra;2010;75,007;Urban
Europe;Andorra;2011;83,747;Total
Europe;Andorra;2011;9,442;Rural
Europe;Andorra;2011;74,309;Urban
Europe;Andorra;2012;82,427;Total
Europe;Andorra;2012;9,371;Rural
Europe;Andorra;2012;73,06;Urban
Europe;Andorra;2013;80,774;Total
Europe;Andorra;2013;9,261;Rural
Europe;Andorra;2013;71,527;Urban
Europe;Andorra;2014;79,213;Total
Europe;Andorra;2014;9,157;Rural
Europe;Andorra;2014;70,066;Urban
Europe;Andorra;2015;78,011;Total
Europe;Andorra;2015;9,093;Rural
Europe;Andorra;2015;68,921;Urban
Europe;Andorra;2016;77,297;Total
Europe;Andorra;2016;9,082;Rural
Europe;Andorra;2016;68,199;Urban
Europe;Andorra;2017;77,001;Total
Europe;Andorra;2017;9,12;Rural
Europe;Andorra;2017;67,845;Urban
Europe;Andorra;2018;77,006;Total
Europe;Andorra;2018;9,187;Rural
Europe;Andorra;2018;67,766;Urban
Africa;Angola;2000;16395,473;Total
Africa;Angola;2000;8155,019;Male
Africa;Angola;2000;8240,458;Female
Africa;Angola;2000;8206,1;Rural
Africa;Angola;2000;8234,824;Urban
Africa;Angola;2001;16945,753;Total
Africa;Angola;2001;8423,958;Male
Africa;Angola;2001;8521,795;Female
Africa;Angola;2001;8275,248;Rural
Africa;Angola;2001;8708,018;Urban
Africa;Angola;2002;17519,417;Total
Africa;Angola;2002;8704,663;Male
Africa;Angola;2002;8814,755;Female
Africa;Angola;2002;8353,851;Rural
Africa;Angola;2002;9218,798;Urban
Africa;Angola;2003;18121,479;Total
Africa;Angola;2003;8999,242;Male
Africa;Angola;2003;9122,235;Female
Africa;Angola;2003;8438,128;Rural
Africa;Angola;2003;9765,241;Urban
Africa;Angola;2004;18758,145;Total
Africa;Angola;2004;9310,252;Male
Africa;Angola;2004;9447,886;Female
Africa;Angola;2004;8522,221;Rural
Africa;Angola;2004;10343,495;Urban
Africa;Angola;2005;19433,602;Total
Africa;Angola;2005;9639,47;Male
Africa;Angola;2005;9794,134;Female
Africa;Angola;2005;8603,118;Rural
Africa;Angola;2005;10949,424;Urban
Africa;Angola;2006;20149,901;Total
Africa;Angola;2006;9987,68;Male
Africa;Angola;2006;10162,225;Female
Africa;Angola;2006;8760,7;Rural
Africa;Angola;2006;11501,699;Urban
Africa;Angola;2007;20905,363;Total
Africa;Angola;2007;10354,34;Male
Africa;Angola;2007;10551,02;Female
Africa;Angola;2007;8918,911;Rural
Africa;Angola;2007;12078,776;Urban
Africa;Angola;2008;21695,634;Total
Africa;Angola;2008;10738,13;Male
Africa;Angola;2008;10957,506;Female
Africa;Angola;2008;9077,515;Rural
Africa;Angola;2008;12681,905;Urban
Africa;Angola;2009;22514,281;Total
Africa;Angola;2009;11137,01;Male
Africa;Angola;2009;11377,265;Female
Africa;Angola;2009;9237,545;Rural
Africa;Angola;2009;13312,002;Urban
Africa;Angola;2010;23356,246;Total
Africa;Angola;2010;11549,277;Male
Africa;Angola;2010;11806,97;Female
Africa;Angola;2010;9398,277;Rural
Africa;Angola;2010;13970,854;Urban
Africa;Angola;2011;24220,661;Total
Africa;Angola;2011;11974,824;Male
Africa;Angola;2011;12245,836;Female
Africa;Angola;2011;9559,614;Rural
Africa;Angola;2011;14658,951;Urban
Africa;Angola;2012;25107,931;Total
Africa;Angola;2012;12413,552;Male
Africa;Angola;2012;12694,373;Female
Africa;Angola;2012;9720,169;Rural
Africa;Angola;2012;15375,981;Urban
Africa;Angola;2013;26015,781;Total
Africa;Angola;2013;12863,801;Male
Africa;Angola;2013;13151,985;Female
Africa;Angola;2013;9878,943;Rural
Africa;Angola;2013;16119,397;Urban
Africa;Angola;2014;26941,779;Total
Africa;Angola;2014;13323,488;Male
Africa;Angola;2014;13618,285;Female
Africa;Angola;2014;10033,109;Rural
Africa;Angola;2014;16887,357;Urban
Africa;Angola;2015;27884,381;Total
Africa;Angola;2015;13791,244;Male
Africa;Angola;2015;14093,136;Female
Africa;Angola;2015;10183,56;Rural
Africa;Angola;2015;17675,745;Urban
Africa;Angola;2016;28842,489;Total
Africa;Angola;2016;14266,355;Male
Africa;Angola;2016;14576,127;Female
Africa;Angola;2016;10329,86;Rural
Africa;Angola;2016;18483,603;Urban
Africa;Angola;2017;29816,766;Total
Africa;Angola;2017;14749,319;Male
Africa;Angola;2017;15067,45;Female
Africa;Angola;2017;10472,554;Rural
Africa;Angola;2017;19311,639;Urban
Africa;Angola;2018;30809,787;Total
Africa;Angola;2018;15241,459;Male
Africa;Angola;2018;15568,328;Female
Africa;Angola;2018;10612,667;Rural
Africa;Angola;2018;20161,538;Urban
;;2000;11,252;Total
;;2000;0;Rural
;;2000;11,07;Urban
;;2001;11,515;Total
;;2001;0;Rural
;;2001;11,372;Urban
;;2002;11,761;Total
;;2002;0;Rural
;;2002;11,692;Urban
;;2003;12,001;Total
;;2003;0;Rural
;;2003;12,021;Urban
;;2004;12,233;Total
;;2004;0;Rural
;;2004;12,339;Urban
;;2005;12,453;Total
;;2005;0;Rural
;;2005;12,638;Urban
;;2006;12,661;Total
;;2006;0;Rural
;;2006;12,903;Urban
;;2007;12,868;Total
;;2007;0;Rural
;;2007;13,15;Urban
;;2008;13,063;Total
;;2008;0;Rural
;;2008;13,36;Urban
;;2009;13,258;Total
;;2009;0;Rural
;;2009;13,565;Urban
;;2010;13,438;Total
;;2010;0;Rural
;;2010;13,769;Urban
;;2011;13,62;Total
;;2011;0;Rural
;;2011;13,951;Urban
;;2012;13,795;Total
;;2012;0;Rural
;;2012;14,129;Urban
;;2013;13,954;Total
;;2013;0;Rural
;;2013;14,299;Urban
;;2014;14,112;Total
;;2014;0;Rural
;;2014;14,459;Urban
;;2015;14,279;Total
;;2015;0;Rural
;;2015;14,611;Urban
;;2016;14,429;Total
;;2016;0;Rural
;;2016;14,764;Urban
;;2017;14,584;Total
;;2017;0;Rural
;;2017;14,909;Urban
;;2018;14,731;Total
;;2018;0;Rural
;;2018;15,045;Urban
Americas;Antigua and Barbuda;2000;76,016;Total
Americas;Antigua and Barbuda;2000;35,71;Male
Americas;Antigua and Barbuda;2000;40,297;Female
Americas;Antigua and Barbuda;2000;56,731;Rural
Americas;Antigua and Barbuda;2000;26,853;Urban
Americas;Antigua and Barbuda;2001;77,212;Total
Americas;Antigua and Barbuda;2001;36,288;Male
Americas;Antigua and Barbuda;2001;40,924;Female
Americas;Antigua and Barbuda;2001;58,06;Rural
Americas;Antigua and Barbuda;2001;26,997;Urban
Americas;Antigua and Barbuda;2002;78,295;Total
Americas;Antigua and Barbuda;2002;36,854;Male
Americas;Antigua and Barbuda;2002;41,444;Female
Americas;Antigua and Barbuda;2002;59,439;Rural
Americas;Antigua and Barbuda;2002;26,827;Urban
Americas;Antigua and Barbuda;2003;79,3;Total
Americas;Antigua and Barbuda;2003;37,425;Male
Americas;Antigua and Barbuda;2003;41,886;Female
Americas;Antigua and Barbuda;2003;60,7;Rural
Americas;Antigua and Barbuda;2003;26,593;Urban
Americas;Antigua and Barbuda;2004;80,336;Total
Americas;Antigua and Barbuda;2004;38,009;Male
Americas;Antigua and Barbuda;2004;42,338;Female
Americas;Antigua and Barbuda;2004;61,924;Rural
Americas;Antigua and Barbuda;2004;26,333;Urban
Americas;Antigua and Barbuda;2005;81,465;Total
Americas;Antigua and Barbuda;2005;38,63;Male
Americas;Antigua and Barbuda;2005;42,832;Female
Americas;Antigua and Barbuda;2005;63,175;Rural
Americas;Antigua and Barbuda;2005;26,078;Urban
Americas;Antigua and Barbuda;2006;82,704;Total
Americas;Antigua and Barbuda;2006;39,314;Male
Americas;Antigua and Barbuda;2006;43,401;Female
Americas;Antigua and Barbuda;2006;64,469;Rural
Americas;Antigua and Barbuda;2006;25,832;Urban
Americas;Antigua and Barbuda;2007;84,026;Total
Americas;Antigua and Barbuda;2007;40,017;Male
Americas;Antigua and Barbuda;2007;44,012;Female
Americas;Antigua and Barbuda;2007;65,792;Rural
Americas;Antigua and Barbuda;2007;25,589;Urban
Americas;Antigua and Barbuda;2008;85,397;Total
Americas;Antigua and Barbuda;2008;40,731;Male
Americas;Antigua and Barbuda;2008;44,663;Female
Americas;Antigua and Barbuda;2008;67,134;Rural
Americas;Antigua and Barbuda;2008;25,344;Urban
Americas;Antigua and Barbuda;2009;86,746;Total
Americas;Antigua and Barbuda;2009;41,444;Male
Americas;Antigua and Barbuda;2009;45,299;Female
Americas;Antigua and Barbuda;2009;68,485;Rural
Americas;Antigua and Barbuda;2009;25,096;Urban
Americas;Antigua and Barbuda;2010;88,028;Total
Americas;Antigua and Barbuda;2010;42,118;Male
Americas;Antigua and Barbuda;2010;45,912;Female
Americas;Antigua and Barbuda;2010;69,824;Rural
Americas;Antigua and Barbuda;2010;24,837;Urban
Americas;Antigua and Barbuda;2011;89,253;Total
Americas;Antigua and Barbuda;2011;42,763;Male
Americas;Antigua and Barbuda;2011;46,487;Female
Americas;Antigua and Barbuda;2011;71,116;Rural
Americas;Antigua and Barbuda;2011;24,603;Urban
Americas;Antigua and Barbuda;2012;90,409;Total
Americas;Antigua and Barbuda;2012;43,373;Male
Americas;Antigua and Barbuda;2012;47,034;Female
Americas;Antigua and Barbuda;2012;72,074;Rural
Americas;Antigua and Barbuda;2012;24,703;Urban
Americas;Antigua and Barbuda;2013;91,516;Total
Americas;Antigua and Barbuda;2013;43,951;Male
Americas;Antigua and Barbuda;2013;47,559;Female
Americas;Antigua and Barbuda;2013;73,026;Rural
Americas;Antigua and Barbuda;2013;24,798;Urban
Americas;Antigua and Barbuda;2014;92,562;Total
Americas;Antigua and Barbuda;2014;44,502;Male
Americas;Antigua and Barbuda;2014;48,06;Female
Americas;Antigua and Barbuda;2014;73,984;Rural
Americas;Antigua and Barbuda;2014;24,891;Urban
Americas;Antigua and Barbuda;2015;93,566;Total
Americas;Antigua and Barbuda;2015;45,028;Male
Americas;Antigua and Barbuda;2015;48,543;Female
Americas;Antigua and Barbuda;2015;74,942;Rural
Americas;Antigua and Barbuda;2015;24,981;Urban
Americas;Antigua and Barbuda;2016;94,527;Total
Americas;Antigua and Barbuda;2016;45,518;Male
Americas;Antigua and Barbuda;2016;49,002;Female
Americas;Antigua and Barbuda;2016;75,878;Rural
Americas;Antigua and Barbuda;2016;25,085;Urban
Americas;Antigua and Barbuda;2017;95,426;Total
Americas;Antigua and Barbuda;2017;45,986;Male
Americas;Antigua and Barbuda;2017;49,439;Female
Americas;Antigua and Barbuda;2017;76,802;Rural
Americas;Antigua and Barbuda;2017;25,21;Urban
Americas;Antigua and Barbuda;2018;96,286;Total
Americas;Antigua and Barbuda;2018;46,419;Male
Americas;Antigua and Barbuda;2018;49,863;Female
Americas;Antigua and Barbuda;2018;77,7;Rural
Americas;Antigua and Barbuda;2018;25,35;Urban
Americas;Argentina;2000;36870,787;Total
Americas;Argentina;2000;17894,725;Male
Americas;Argentina;2000;18976,071;Female
Americas;Argentina;2000;4023,693;Rural
Americas;Argentina;2000;33033,759;Urban
Americas;Argentina;2001;37275,652;Total
Americas;Argentina;2001;18090,636;Male
Americas;Argentina;2001;19185,008;Female
Americas;Argentina;2001;3998,739;Rural
Americas;Argentina;2001;33472,77;Urban
Americas;Argentina;2002;37681,749;Total
Americas;Argentina;2002;18290,786;Male
Americas;Argentina;2002;19390,957;Female
Americas;Argentina;2002;3974,741;Rural
Americas;Argentina;2002;33914,629;Urban
Americas;Argentina;2003;38087,868;Total
Americas;Argentina;2003;18493,545;Male
Americas;Argentina;2003;19594,321;Female
Americas;Argentina;2003;3951,197;Rural
Americas;Argentina;2003;34358,182;Urban
Americas;Argentina;2004;38491,972;Total
Americas;Argentina;2004;18696,321;Male
Americas;Argentina;2004;19795,649;Female
Americas;Argentina;2004;3927,028;Rural
Americas;Argentina;2004;34801,668;Urban
Americas;Argentina;2005;38892,931;Total
Americas;Argentina;2005;18897,365;Male
Americas;Argentina;2005;19995,559;Female
Americas;Argentina;2005;3902,354;Rural
